"date.time","Date","Time","Power","Current","Pressure","Flow","Density"
2015-01-25 04:51:00,"25/01/2015","4:51:00 AM",9,3.004953651,1.619730401,3.331165399,4.172248705
2015-01-25 04:54:00,"25/01/2015","4:54:00 AM",-5,4.604654492,7.963271683,6.382124262,4.158012316
2015-01-25 04:57:00,"25/01/2015","4:57:00 AM",4,3.623764417,3.143438427,4.424880377,4.17037995
2015-01-25 05:00:00,"25/01/2015","5:00:00 AM",4,2.022026487,9.56918013,4.772743778,4.007780083
2015-01-25 05:03:00,"25/01/2015","5:03:00 AM",-8,2.774802177,7.582135218,5.312684343,0.514175815
2015-01-25 05:06:00,"25/01/2015","5:06:00 AM",9,3.573989429,9.78418523,3.746038834,1.539553415
2015-01-25 05:09:00,"25/01/2015","5:09:00 AM",-9,4.760760922,3.67168232,5.345801543,3.783693082
2015-01-25 05:12:00,"25/01/2015","5:12:00 AM",1,3.454918368,7.682730337,9.676908347,3.426640093
2015-01-25 05:15:00,"25/01/2015","5:15:00 AM",-4,1.384742702,0.362611998,3.449450135,2.499013508
2015-01-25 05:18:00,"25/01/2015","5:18:00 AM",-7,0.158949328,2.92686474,7.189454471,0.035576124
2015-01-25 05:21:00,"25/01/2015","5:21:00 AM",-2,0.217223437,0.41332038,4.309007861,4.053477712
2015-01-25 05:24:00,"25/01/2015","5:24:00 AM",8,2.015151386,9.254892801,1.553142529,3.835112149
2015-01-25 05:27:00,"25/01/2015","5:27:00 AM",2,4.151244068,5.080375728,0.221510122,4.157436525
2015-01-25 05:30:00,"25/01/2015","5:30:00 AM",8,2.239058151,7.109393745,1.189547858,0.110494515
2015-01-25 05:33:00,"25/01/2015","5:33:00 AM",3,3.49781274,6.494207829,5.001044949,1.539633062
2015-01-25 05:36:00,"25/01/2015","5:36:00 AM",7,0.906874738,8.881013364,3.020236415,0.196538447
2015-01-25 05:39:00,"25/01/2015","5:39:00 AM",-2,0.666894142,2.395317548,5.427537106,1.9043356
2015-01-25 05:42:00,"25/01/2015","5:42:00 AM",-10,1.817302344,4.776025771,9.234031664,2.680457972
2015-01-25 05:45:00,"25/01/2015","5:45:00 AM",3,0.48030989,6.818548503,8.647699963,4.106013539
2015-01-25 05:48:00,"25/01/2015","5:48:00 AM",8,4.624575014,4.746588069,0.892645242,4.929716171
2015-01-25 05:51:00,"25/01/2015","5:51:00 AM",8,2.11256643,5.443090313,3.943500806,1.921779121
2015-01-25 05:54:00,"25/01/2015","5:54:00 AM",-10,3.744737958,4.469243972,9.172017762,4.683433001
2015-01-25 05:57:00,"25/01/2015","5:57:00 AM",-4,2.360066719,0.863848011,2.065555405,1.321775755
2015-01-25 06:00:00,"25/01/2015","6:00:00 AM",-1,0.124389553,9.540372475,8.262561598,3.834607166
2015-01-25 06:03:00,"25/01/2015","6:03:00 AM",1,4.602977177,4.257372748,9.330918453,0.943670908
2015-01-25 06:06:00,"25/01/2015","6:06:00 AM",7,0.998958993,2.795246785,4.498436082,1.767879862
2015-01-25 06:09:00,"25/01/2015","6:09:00 AM",-1,1.387992173,0.480217578,7.459343586,3.700997343
2015-01-25 06:12:00,"25/01/2015","6:12:00 AM",-4,4.785001271,2.223633851,3.97552706,1.915989637
